date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-04-15,sz.300973,94.1800,103.6000,86.0000,103.0000,28.2800,27105624,2496425745.9600,3,75.015400,1,264.215000,0
2021-04-16,sz.300973,105.0000,111.2000,103.5000,107.2500,103.0000,13274989,1423263906.7500,3,36.738800,1,4.126200,0
2021-04-19,sz.300973,104.5300,114.0000,104.5300,111.0000,107.2500,7839285,861921147.5800,3,21.695400,1,3.496500,0
2021-04-20,sz.300973,108.5500,113.3800,108.1300,111.2000,111.0000,4236115,466980041.5200,3,11.723500,1,0.180200,0
2021-04-21,sz.300973,111.0000,120.0000,109.0800,120.0000,111.2000,5770061,661517141.8100,3,15.968800,1,7.913700,0
2021-04-22,sz.300973,118.0300,132.5500,117.2500,127.0200,120.0000,6012893,750388368.8700,3,16.640800,1,5.850000,0
2021-04-23,sz.300973,126.2200,131.1800,120.2000,128.9000,127.0200,5566051,706634471.8000,3,15.404200,1,1.480100,0
2021-04-26,sz.300973,127.0000,131.9900,123.5000,130.0000,128.9000,4939704,626557920.7300,3,13.670700,1,0.853400,0
2021-04-27,sz.300973,128.3900,136.2000,124.0000,127.0000,130.0000,4489649,587554947.6400,3,12.425200,1,-2.307700,0
2021-04-28,sz.300973,133.0000,145.0000,131.3000,138.0000,127.0000,5406578,737776655.6500,3,14.962800,1,8.661400,0
2021-04-29,sz.300973,136.5100,145.4900,136.0000,140.2000,138.0000,3238758,454830467.6000,3,8.963300,1,1.594200,0
2021-04-30,sz.300973,140.0100,148.1700,138.2500,147.0000,140.2000,2430477,348613972.5000,3,6.726400,1,4.850200,0
2021-05-06,sz.300973,146.0000,149.0000,143.3300,147.9900,147.0000,1829826,266806617.2700,3,5.064100,1,0.673500,0
2021-05-07,sz.300973,147.8000,149.7800,132.0000,134.6000,147.9900,3710771,519137416.1000,3,10.269600,1,-9.047900,0
2021-05-10,sz.300973,134.0200,142.6000,134.0200,137.0000,134.6000,2629761,365043278.7000,3,7.277900,1,1.783100,0
2021-05-11,sz.300973,137.0100,145.7900,130.5800,141.7200,137.0000,3189118,445048101.0400,3,8.826000,1,3.445300,0
2021-05-12,sz.300973,141.5100,146.9900,139.4400,146.0000,141.7200,2142944,308316315.2400,3,5.930600,1,3.020000,0
2021-05-13,sz.300973,143.1100,147.5100,141.0100,142.3400,146.0000,1367493,197560645.9600,3,3.784600,1,-2.506800,0
2021-05-14,sz.300973,144.0100,162.6900,141.8500,157.5000,142.3400,2776938,425722014.6700,3,7.685200,1,10.650600,0
2021-05-17,sz.300973,158.0000,164.1900,151.2000,160.2500,157.5000,2486310,396402953.1500,3,6.880900,1,1.746000,0
2021-05-18,sz.300973,160.0100,162.9800,156.5800,158.2600,160.2500,1389156,221004940.8200,3,3.844500,1,-1.241800,0
2021-05-19,sz.300973,157.3500,168.0000,157.0000,165.7800,158.2600,1595605,261964041.9000,3,4.415900,1,4.751700,0
2021-05-20,sz.300973,164.3100,166.9500,159.6800,163.1800,165.7800,1399726,227341924.2800,3,3.873800,1,-1.568300,0
2021-05-21,sz.300973,163.1000,165.9800,158.0000,163.5100,163.1800,1190712,192264191.5600,3,3.295300,1,0.202200,0
2021-05-24,sz.300973,159.6700,162.5500,155.8800,161.0000,163.5100,1292023,205569148.8200,3,3.575700,1,-1.535100,0
2021-05-25,sz.300973,161.2600,170.0700,158.6000,168.1300,161.0000,1391690,230889369.3300,3,3.851500,1,4.428600,0
2021-05-26,sz.300973,168.0000,172.5900,164.0000,166.2900,168.1300,1132145,190264244.6200,3,3.133200,1,-1.094400,0
2021-05-27,sz.300973,165.0700,175.4600,163.3300,174.7600,166.2900,1177989,201053303.6200,3,3.260100,1,5.093500,0
2021-05-28,sz.300973,173.0000,176.2100,164.0100,167.5000,174.7600,1473471,250433362.3800,3,4.077900,1,-4.154300,0
2021-05-31,sz.300973,167.0000,175.9900,166.5100,169.8000,167.5000,1168239,199531196.4800,3,3.233100,1,1.373100,0
2021-06-01,sz.300973,169.1200,172.0000,165.8800,169.5900,169.8000,923892,155945912.8200,3,2.556900,1,-0.123700,0
2021-06-02,sz.300973,170.5100,171.0000,156.0000,157.5000,169.5900,2004954,324732443.2000,3,5.548800,1,-7.129000,0
2021-06-03,sz.300973,159.0100,163.7700,156.0000,159.5500,157.5000,898467,144752616.4400,3,2.486500,1,1.301600,0
2021-06-04,sz.300973,156.0000,160.9700,152.2200,157.1800,159.5500,1623418,254237906.6500,3,4.492800,1,-1.485400,0
2021-06-07,sz.300973,160.0100,164.5000,155.9200,162.2300,157.1800,891340,142874374.3800,3,2.466800,1,3.212900,0
2021-06-08,sz.300973,163.2000,167.7000,161.0800,163.2800,162.2300,1267640,208385592.5700,3,3.508200,1,0.647200,0
2021-06-09,sz.300973,162.1000,162.8000,156.3000,157.5000,163.2800,1097498,174379044.0300,3,3.037300,1,-3.539900,0
2021-06-10,sz.300973,157.5000,157.7100,152.0000,155.5900,157.5000,1332686,205589337.0400,3,3.688200,1,-1.212700,0
2021-06-11,sz.300973,154.9900,163.5000,154.9900,161.3600,155.5900,1090467,175224561.2200,3,3.017900,1,3.708500,0
