date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-05-10,sz.300778,32.8000,39.3600,32.8000,39.3600,27.3300,25373,996352.4800,3,0.126865,1,44.017570,0
2019-05-13,sz.300778,43.3000,43.3000,43.3000,43.3000,39.3600,8302,359476.6000,3,0.041510,1,10.010160,0
2019-05-14,sz.300778,47.6300,47.6300,47.6300,47.6300,43.3000,20016,953362.0800,3,0.100080,1,10.000000,0
2019-05-15,sz.300778,52.3900,52.3900,52.3900,52.3900,47.6300,73831,3868006.0900,3,0.369155,1,9.993698,0
2019-05-16,sz.300778,57.6300,57.6300,52.6200,53.1100,52.3900,9885354,537523318.0500,3,49.426770,1,1.374310,0
2019-05-17,sz.300778,51.0100,51.4400,47.8100,48.0500,53.1100,6985405,345327319.8600,3,34.927025,1,-9.527399,0
2019-05-20,sz.300778,46.4000,46.5000,44.3700,44.9700,48.0500,4316318,194801629.5200,3,21.581590,1,-6.409986,0
2019-05-21,sz.300778,45.6200,45.8800,44.7000,45.4000,44.9700,3122028,141431467.1800,3,15.610140,1,0.956194,0
2019-05-22,sz.300778,45.3600,45.3600,43.1500,43.7400,45.4000,3881692,170816313.3600,3,19.408460,1,-3.656387,0
2019-05-23,sz.300778,43.0100,43.0300,41.3300,41.4000,43.7400,3397453,143131477.7100,3,16.987265,1,-5.349794,0
2019-05-24,sz.300778,41.4100,42.7500,41.3600,41.5900,41.4000,2792411,117247925.2800,3,13.962055,1,0.458934,0
2019-05-27,sz.300778,41.8000,42.3500,41.0600,42.2000,41.5900,2416302,101021727.8300,3,12.081510,1,1.466700,0
2019-05-28,sz.300778,41.8900,42.9600,41.6500,41.8200,42.2000,2790047,118243710.6700,3,13.950235,1,-0.900477,0
2019-05-29,sz.300778,41.3600,43.2900,41.3300,42.4500,41.8200,2795826,118804760.8400,3,13.979130,1,1.506459,0
2019-05-30,sz.300778,42.1100,44.3000,41.6800,44.2600,42.4500,3995561,171928625.9400,3,19.977805,1,4.263834,0
2019-05-31,sz.300778,44.2600,47.0000,44.2600,45.5000,44.2600,5625332,257219520.1700,3,28.126660,1,2.801631,0
2019-06-03,sz.300778,44.6800,45.3000,42.1100,42.3000,45.5000,3967653,172734898.7100,3,19.838265,1,-7.032969,0
2019-06-04,sz.300778,42.2800,42.2800,40.5500,40.9500,42.3000,2548771,105167959.6100,3,12.743855,1,-3.191486,0
2019-06-05,sz.300778,41.4000,41.7500,40.6500,41.4200,40.9500,1697445,69952827.9500,3,8.487225,1,1.147735,0
2019-06-06,sz.300778,41.0200,41.2500,39.1000,39.3700,41.4200,2066824,82801797.2000,3,10.334120,1,-4.949298,0
2019-06-10,sz.300778,39.7900,40.1400,39.3200,39.7500,39.3700,1003886,39888111.1300,3,5.019430,1,0.965205,0
2019-06-11,sz.300778,40.2400,43.7300,40.2400,43.7300,39.7500,3869972,167639529.7400,3,19.349860,1,10.012580,0
2019-06-12,sz.300778,46.0000,47.9900,44.7100,44.7900,43.7300,8506611,392709349.3200,3,42.533055,1,2.423968,0
2019-06-13,sz.300778,43.8100,44.8000,42.8000,43.6100,44.7900,4553484,198785783.6100,3,22.767420,1,-2.634517,0
2019-06-14,sz.300778,43.5000,43.5900,39.9500,40.2100,43.6100,4538169,188472336.5400,3,22.690845,1,-7.796381,0
2019-06-17,sz.300778,40.4000,41.2000,40.3000,40.3900,40.2100,1763024,71621419.1600,3,8.815120,1,0.447651,0
2019-06-18,sz.300778,40.3900,41.7800,40.1300,41.3500,40.3900,2420184,99581894.7600,3,12.100920,1,2.376824,0
2019-06-19,sz.300778,42.2000,43.0800,41.0000,42.7000,41.3500,3743168,157576514.3400,3,18.715840,1,3.264818,0
2019-06-20,sz.300778,42.3800,43.1100,41.9500,42.9000,42.7000,3286483,139728790.5200,3,16.432415,1,0.468386,0
2019-06-21,sz.300778,42.9300,45.0000,42.9300,44.6200,42.9000,4511572,197715801.6100,3,22.557860,1,4.009318,0
2019-06-24,sz.300778,44.6200,44.9600,42.7100,44.7500,44.6200,3831494,167980711.5600,3,19.157470,1,0.291352,0
2019-06-25,sz.300778,45.1600,46.9400,44.5000,45.0800,44.7500,5618065,256647584.5000,3,28.090325,1,0.737434,0
2019-06-26,sz.300778,43.1000,43.5000,40.5700,42.6700,45.0800,3818994,162141550.3600,3,19.094970,1,-5.346059,0
2019-06-27,sz.300778,42.4000,43.3900,42.1100,42.2900,42.6700,2605112,111079239.6800,3,13.025560,1,-0.890549,0
2019-06-28,sz.300778,42.2000,45.8800,42.0300,44.8000,42.2900,5146139,228154208.5600,3,25.730695,1,5.935205,0
2019-07-01,sz.300778,45.8000,47.3000,44.6000,45.1500,44.8000,5792258,264902520.3600,3,28.961290,1,0.781255,0
2019-07-02,sz.300778,45.1500,47.5600,44.5700,46.7000,45.1500,5850493,271897707.8800,3,29.252465,1,3.432999,0
2019-07-03,sz.300778,45.9000,49.6600,45.4100,45.8000,46.7000,5555555,261031346.1000,3,27.777775,1,-1.927198,0
2019-07-04,sz.300778,46.0000,48.2800,45.8000,46.9900,45.8000,4814105,226169749.8500,3,24.070525,1,2.598259,0
2019-07-05,sz.300778,46.0000,48.3900,45.5100,47.4200,46.9900,5038594,236477022.4200,3,25.192970,1,0.915081,0
2019-07-08,sz.300778,47.2000,47.3800,43.6200,44.3000,47.4200,3977262,179581246.8700,3,19.886310,1,-6.579500,0
2019-07-09,sz.300778,44.2000,44.8000,42.6800,43.3200,44.3000,2897692,126205215.4800,3,14.488460,1,-2.212188,0
2019-07-10,sz.300778,43.0000,43.8100,41.8600,42.2300,43.3200,2300280,98555846.4200,3,11.501400,1,-2.516159,0
2019-07-11,sz.300778,42.7100,43.0900,41.5100,42.4600,42.2300,2075546,88097564.3000,3,10.377730,1,0.544635,0
2019-07-12,sz.300778,42.4600,42.9200,41.8200,42.9200,42.4600,1413077,60139852.8000,3,7.065385,1,1.083370,0
2019-07-15,sz.300778,42.6900,43.8900,42.0000,43.8900,42.9200,2157377,93136616.4100,3,10.786885,1,2.260021,0
2019-07-16,sz.300778,43.5600,44.1300,43.4100,43.7400,43.8900,1822869,79862041.8700,3,9.114345,1,-0.341758,0
2019-07-17,sz.300778,43.4200,43.8000,42.3100,42.4800,43.7400,2069248,88484346.0800,3,10.346240,1,-2.880663,0
2019-07-18,sz.300778,42.0100,42.2800,40.8300,40.9500,42.4800,1865610,77177571.1000,3,9.328050,1,-3.601692,0
2019-07-19,sz.300778,41.1000,41.6300,41.0300,41.1300,40.9500,1044701,43139784.2300,3,5.223505,1,0.439561,0
2019-07-22,sz.300778,41.0300,41.4700,39.1000,39.2200,41.1300,1827435,72817604.3000,3,9.137175,1,-4.643812,0
2019-07-23,sz.300778,39.2000,40.0800,39.2000,39.9800,39.2200,957733,38047918.3800,3,4.788665,1,1.937783,0
2019-07-24,sz.300778,40.5000,40.9800,40.1900,40.6000,39.9800,1146507,46593759.2600,3,5.732535,1,1.550773,0
2019-07-25,sz.300778,40.6800,41.4900,40.6300,41.0100,40.6000,1275116,52473391.7900,3,6.375580,1,1.009852,0
2019-07-26,sz.300778,40.6700,41.2600,40.2100,41.1900,41.0100,1157107,47395835.7500,3,5.785500,1,0.438900,0
2019-07-29,sz.300778,41.1800,41.5000,40.5000,40.6300,41.1900,952596,38967507.0400,3,4.762980,1,-1.359547,0
2019-07-30,sz.300778,40.6300,41.1000,40.3000,40.7800,40.6300,959189,39076150.2300,3,4.795900,1,0.369200,0
2019-07-31,sz.300778,41.9600,42.6800,41.1200,41.1800,40.7800,2270699,95069937.8000,3,11.353500,1,0.980900,0
2019-08-01,sz.300778,40.1900,40.6200,39.6500,40.4600,41.1800,1731576,69413409.6800,3,8.657900,1,-1.748400,0
2019-08-02,sz.300778,39.6000,40.4800,39.3000,40.1800,40.4600,1428050,57000106.9600,3,7.140300,1,-0.692000,0
2019-08-05,sz.300778,40.5800,41.0500,40.0700,40.1100,40.1800,1171100,47410971.7000,3,5.855500,1,-0.174200,0
2019-08-06,sz.300778,39.3100,40.6900,38.0000,40.6500,40.1100,2263554,89215141.5200,3,11.317800,1,1.346300,0
2019-08-07,sz.300778,40.4500,40.7800,39.9000,40.0400,40.6500,1427736,57622806.1200,3,7.138700,1,-1.500600,0
2019-08-08,sz.300778,39.7600,40.9000,39.5600,40.7000,40.0400,1398960,56240513.8400,3,6.994800,1,1.648400,0
2019-08-09,sz.300778,40.7600,42.2900,40.7600,41.5400,40.7000,2488108,103201683.6000,3,12.440500,1,2.063900,0
2019-08-12,sz.300778,41.6300,41.9700,39.6300,41.2500,41.5400,1958594,80004843.4100,3,9.793000,1,-0.698100,0
2019-08-13,sz.300778,40.7600,40.7600,39.7800,40.0600,41.2500,1302536,52290288.5600,3,6.512700,1,-2.884800,0
2019-08-14,sz.300778,40.6000,40.6700,40.0700,40.0700,40.0600,1106400,44630014.3600,3,5.532000,1,0.025000,0
2019-08-15,sz.300778,38.7500,39.6400,38.6100,39.4600,40.0700,1091996,42819352.5000,3,5.460000,1,-1.522300,0
2019-08-16,sz.300778,39.4700,39.9500,39.4100,39.4500,39.4600,1016196,40296228.2400,3,5.081000,1,-0.025300,0
2019-08-19,sz.300778,43.4000,43.4000,43.4000,43.4000,39.4500,1134547,49239339.8000,3,5.672700,1,10.012700,0
2019-08-20,sz.300778,47.7400,47.7400,47.6500,47.7400,43.4000,3199441,152738427.7000,3,15.997200,1,10.000000,0
2019-08-21,sz.300778,48.0000,52.5000,45.0100,49.1000,47.7400,9861825,474770789.6200,3,49.309100,1,2.848800,0
2019-08-22,sz.300778,48.1600,51.3000,47.1500,49.9500,49.1000,7338824,361368534.4600,3,36.694100,1,1.731200,0
2019-08-23,sz.300778,49.0000,50.4400,47.2000,48.5000,49.9500,5399448,263730143.3000,3,26.997200,1,-2.902900,0
2019-08-26,sz.300778,47.2000,47.9700,45.5800,46.4000,48.5000,4147883,193560868.2300,3,20.739400,1,-4.329900,0
2019-08-27,sz.300778,46.6000,46.9600,45.8600,46.0200,46.4000,4391029,203691015.0600,3,21.955100,1,-0.819000,0
2019-08-28,sz.300778,45.8600,46.8300,45.3000,46.7700,46.0200,4040069,186789184.5500,3,20.200300,1,1.629700,0
2019-08-29,sz.300778,46.3600,46.9900,44.0000,44.6800,46.7700,4122055,188536826.4500,3,20.610300,1,-4.468700,0
2019-08-30,sz.300778,44.9900,45.5400,43.3600,44.8700,44.6800,2864914,128447684.8600,3,14.324600,1,0.425200,0
2019-09-02,sz.300778,44.6800,45.4000,43.8000,45.3800,44.8700,2707174,121106245.6300,3,13.535900,1,1.136600,0
2019-09-03,sz.300778,45.1700,46.2700,44.9200,45.9400,45.3800,2746279,125150449.6700,3,13.731400,1,1.234000,0
2019-09-04,sz.300778,45.6300,46.3300,44.7000,46.3000,45.9400,3379066,153559726.0500,3,16.895300,1,0.783600,0
2019-09-05,sz.300778,46.1000,46.6600,45.4100,45.4100,46.3000,3898000,179567835.0000,3,19.490000,1,-1.922200,0
2019-09-06,sz.300778,45.1400,45.6200,44.1100,44.4400,45.4100,2686223,120412188.8200,3,13.431100,1,-2.136100,0
2019-09-09,sz.300778,44.7700,45.5600,44.4800,45.5400,44.4400,2228370,100501267.0000,3,11.141900,1,2.475300,0
2019-09-10,sz.300778,45.5300,47.1500,45.0200,46.9100,45.5400,4000252,185153602.4800,3,20.001300,1,3.008300,0
2019-09-11,sz.300778,46.6400,46.6400,45.5300,45.6000,46.9100,2377858,109426592.5400,3,11.889300,1,-2.792600,0
2019-09-12,sz.300778,45.8900,46.9600,45.6400,46.8400,45.6000,2812217,131082713.1900,3,14.061100,1,2.719300,0
2019-09-16,sz.300778,46.8800,47.6500,46.4200,46.6600,46.8400,2317596,108370981.1600,3,11.588000,1,-0.384300,0
2019-09-17,sz.300778,46.8000,46.8000,44.6000,45.0900,46.6600,2107858,95912577.7000,3,10.539300,1,-3.364800,0
2019-09-18,sz.300778,45.1100,45.7500,44.5700,45.4000,45.0900,1473893,66581986.7200,3,7.369500,1,0.687500,0
2019-09-19,sz.300778,45.4000,45.9800,44.8600,45.8400,45.4000,1381742,62937286.6700,3,6.908700,1,0.969200,0
2019-09-20,sz.300778,45.9900,46.7700,45.6900,46.0000,45.8400,1977947,91412900.4900,3,9.889700,1,0.349000,0
2019-09-23,sz.300778,45.6800,45.6900,44.7100,45.0300,46.0000,1294548,58304413.5800,3,6.472700,1,-2.108700,0
2019-09-24,sz.300778,45.2200,45.4000,44.4200,44.5000,45.0300,1434513,64474952.5000,3,7.172600,1,-1.177000,0
2019-09-25,sz.300778,44.0600,44.8800,43.7800,43.9700,44.5000,1022958,45259999.0400,3,5.114800,1,-1.191000,0
2019-09-26,sz.300778,43.9800,44.3500,41.8700,42.0000,43.9700,1466000,62534935.3000,3,7.330000,1,-4.480300,0
2019-09-27,sz.300778,42.1500,42.6800,42.0000,42.4400,42.0000,693000,29388602.1000,3,3.465000,1,1.047600,0
2019-09-30,sz.300778,42.4500,42.5600,41.7800,41.8900,42.4400,663990,27928844.0000,3,3.320000,1,-1.295900,0
2019-10-08,sz.300778,41.9000,42.5000,41.9000,42.0000,41.8900,547990,23127748.4000,3,2.740000,1,0.262600,0
2019-10-09,sz.300778,41.9000,42.5300,41.5200,42.4800,42.0000,610672,25761681.6000,3,3.053400,1,1.142900,0
2019-10-10,sz.300778,42.5500,42.9600,42.1100,42.9300,42.4800,685070,29308214.6000,3,3.425400,1,1.059300,0
