date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-10-22,sh.688788,222.0000,249.8000,217.7800,219.5100,106.0400,12391819,2854030253.5900,3,74.508800,1,107.006800,0
2020-10-23,sh.688788,226.5000,227.0000,196.0000,197.0000,219.5100,7132892,1484511072.3700,3,42.888200,1,-10.254700,0
2020-10-26,sh.688788,190.0200,191.4200,180.3300,184.0000,197.0000,4264276,791753352.0000,3,25.640000,1,-6.599000,0
2020-10-27,sh.688788,184.0000,195.7900,183.6100,186.5300,184.0000,3287122,623322863.6200,3,19.764600,1,1.375000,0
2020-10-28,sh.688788,180.0000,188.8800,177.5000,183.0100,186.5300,2696216,489521326.2900,3,16.211600,1,-1.887100,0
2020-10-29,sh.688788,181.0100,188.7400,175.4000,187.8800,183.0100,3270603,594677867.0000,3,19.665300,1,2.661100,0
2020-10-30,sh.688788,188.0000,200.4600,186.0000,189.4900,187.8800,3628610,704533080.0000,3,21.817900,1,0.856900,0
2020-11-02,sh.688788,190.5100,198.4900,187.1000,192.0000,189.4900,2189241,423379109.8100,3,13.163300,1,1.324600,0
2020-11-03,sh.688788,193.5600,202.5000,191.1100,201.5000,192.0000,2182293,433107154.8200,3,13.121600,1,4.947900,0
2020-11-04,sh.688788,203.8800,213.7900,203.8800,209.5000,201.5000,2499278,523247884.6200,3,15.027500,1,3.970200,0
2020-11-05,sh.688788,207.4000,213.6900,203.2500,204.3000,209.5000,2191740,454852168.2900,3,13.178400,1,-2.482100,0
2020-11-06,sh.688788,205.8000,208.5500,202.0100,206.8600,204.3000,1414754,290305563.9200,3,8.506500,1,1.253100,0
2020-11-09,sh.688788,210.0000,214.8900,205.5000,211.4000,206.8600,2121198,446563058.7400,3,12.754200,1,2.194700,0
2020-11-10,sh.688788,209.3100,210.9000,195.9900,195.9900,211.4000,2068422,418154929.2800,3,12.436900,1,-7.289500,0
2020-11-11,sh.688788,195.0500,196.8900,186.1900,188.0100,195.9900,1685165,321092044.4900,3,10.132500,1,-4.071600,0
