date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-02-23,sh.688619,42.0100,42.2200,36.8800,39.0900,19.3100,29644634,1170055759.5400,3,69.133800,1,102.434000,0
2021-02-24,sh.688619,35.7100,36.5100,32.0700,32.3800,39.0900,16877863,572179402.7300,3,39.360600,1,-17.165500,0
2021-02-25,sh.688619,32.8800,33.9900,31.3000,31.7600,32.3800,10678802,345243384.3900,3,24.903900,1,-1.914800,0
2021-02-26,sh.688619,30.9800,32.9500,29.6700,31.8100,31.7600,11851911,370571060.2400,3,27.639700,1,0.157400,0
2021-03-01,sh.688619,33.0800,34.0600,31.5600,31.5800,31.8100,11453524,377577989.2200,3,26.710600,1,-0.723000,0
2021-03-02,sh.688619,30.5000,30.8000,28.5000,28.6600,31.5800,10132986,300861498.4500,3,23.631000,1,-9.246400,0
2021-03-03,sh.688619,28.6400,29.1800,28.1100,28.6700,28.6600,5793955,166509773.8800,3,13.512000,1,0.034900,0
2021-03-04,sh.688619,28.6800,28.8700,26.9100,27.0300,28.6700,6956813,192293105.5300,3,16.223900,1,-5.720300,0
2021-03-05,sh.688619,26.5800,27.1500,26.5800,26.7100,27.0300,3311375,88890999.5900,3,7.722400,1,-1.183900,0
2021-03-08,sh.688619,27.1000,28.1700,26.7700,27.0200,26.7100,4407622,120538846.0500,3,10.278900,1,1.160600,0
2021-03-09,sh.688619,26.8200,26.9800,25.5100,25.5800,27.0200,3964497,103324584.3300,3,9.245500,1,-5.329400,0
2021-03-10,sh.688619,25.9200,25.9600,25.4700,25.5700,25.5800,1950364,50076782.2100,3,4.548400,1,-0.039100,0
2021-03-11,sh.688619,25.4100,26.0500,25.4100,25.9900,25.5700,2711912,70063921.8200,3,6.324400,1,1.642500,0
2021-03-12,sh.688619,26.0100,26.1600,25.4100,25.6400,25.9900,2366319,60778009.8500,3,5.518500,1,-1.346700,0
2021-03-15,sh.688619,25.4900,25.5900,24.4400,24.6400,25.6400,2781881,69138383.4600,3,6.487600,1,-3.900200,0
2021-03-16,sh.688619,24.7500,24.9300,24.4800,24.8000,24.6400,1535113,37944164.4000,3,3.580000,1,0.649400,0
2021-03-17,sh.688619,24.9000,25.4000,24.6500,25.2300,24.8000,1828439,45779263.7600,3,4.264100,1,1.733900,0
2021-03-18,sh.688619,25.4300,25.4500,25.0700,25.1500,25.2300,1732865,43766761.8000,3,4.041200,1,-0.317100,0
2021-03-19,sh.688619,24.9000,26.1300,24.7100,26.0800,25.1500,2998895,76766088.1400,3,6.993700,1,3.697800,0
2021-03-22,sh.688619,26.0600,26.8600,25.8000,26.6300,26.0800,3139877,83329048.4400,3,7.322500,1,2.108900,0
2021-03-23,sh.688619,26.5000,27.1400,26.4400,26.7400,26.6300,2524305,67534667.9900,3,5.886900,1,0.413100,0
2021-03-24,sh.688619,26.7000,26.7000,25.7400,25.9800,26.7400,1997220,52036428.6200,3,4.657700,1,-2.842200,0
2021-03-25,sh.688619,25.6600,25.9000,25.1300,25.1500,25.9800,1426186,36405048.8000,3,3.326000,1,-3.194800,0
2021-03-26,sh.688619,25.1900,25.5700,25.1500,25.5100,25.1500,973197,24701545.6100,3,2.269600,1,1.431400,0
2021-03-29,sh.688619,25.5100,25.8500,25.3400,25.5800,25.5100,1171068,29946046.1400,3,2.731000,1,0.274400,0
2021-03-30,sh.688619,25.4200,25.7300,25.1700,25.2800,25.5800,1305362,33119682.9800,3,3.044200,1,-1.172800,0
2021-03-31,sh.688619,25.2200,25.4700,24.8000,24.8200,25.2800,1222178,30533717.1700,3,2.850200,1,-1.819600,0
2021-04-01,sh.688619,24.8000,24.9400,24.7100,24.9200,24.8200,1043320,25888735.9700,3,2.433100,1,0.402900,0
2021-04-02,sh.688619,24.9000,25.3500,24.8400,25.2600,24.9200,1070897,26988132.6800,3,2.497400,1,1.364400,0
2021-04-06,sh.688619,25.4700,25.4700,25.2300,25.3300,25.2600,798274,20227800.9800,3,1.861600,1,0.277100,0
2021-04-07,sh.688619,25.3800,26.0500,25.1000,25.9900,25.3300,1793454,45950479.3000,3,4.182500,1,2.605600,0
2021-04-08,sh.688619,25.7800,26.3600,25.5700,25.6200,25.9900,1612856,41901287.8600,3,3.761300,1,-1.423600,0
2021-04-09,sh.688619,25.5500,25.6700,25.1400,25.2300,25.6200,1045316,26457585.6800,3,2.437800,1,-1.522200,0
2021-04-12,sh.688619,25.2300,25.2600,24.9000,25.0000,25.2300,1096445,27438900.3800,3,2.557000,1,-0.911600,0
2021-04-13,sh.688619,25.0500,25.3600,24.9200,25.1400,25.0000,794938,19980375.4500,3,1.853900,1,0.560000,0
2021-04-14,sh.688619,25.0900,25.6000,24.9600,25.3800,25.1400,1023798,25900693.2700,3,2.387600,1,0.954700,0
2021-04-15,sh.688619,25.2800,25.3900,24.9300,24.9400,25.3800,1035622,25969054.0200,3,2.415200,1,-1.733600,0
2021-04-16,sh.688619,25.0100,25.9800,25.0100,25.9800,24.9400,2127450,54513096.5800,3,4.961400,1,4.170000,0
2021-04-19,sh.688619,25.8900,27.4000,25.8900,27.2100,25.9800,3404975,91007353.8900,3,7.940700,1,4.734400,0
2021-04-20,sh.688619,26.9800,27.6400,26.3500,26.4700,27.2100,3092011,83313420.3900,3,7.210800,1,-2.719600,0
2021-04-21,sh.688619,26.3900,26.6300,26.1300,26.2500,26.4700,1355941,35707965.0000,3,3.162200,1,-0.831100,0
2021-04-22,sh.688619,26.3200,26.4900,25.9700,26.0800,26.2500,1345649,35227448.9900,3,3.138200,1,-0.647600,0
2021-04-23,sh.688619,26.0600,26.6000,25.9000,26.4900,26.0800,1451282,38159835.4900,3,3.384500,1,1.572100,0
2021-04-26,sh.688619,26.6000,26.9000,26.3000,26.3700,26.4900,2028451,53981288.4400,3,4.730500,1,-0.453000,0
2021-04-27,sh.688619,26.6800,27.4800,26.5800,27.3500,26.3700,3828899,103990006.5400,3,8.929300,1,3.716300,0
2021-04-28,sh.688619,27.1800,27.6600,27.1000,27.5000,27.3500,2947513,80750861.6500,3,6.873800,1,0.548400,0
